Name,PNG,QB3 Fast,QB3 Base,QB3 Best,QB3 Best Band,QB3 + Zstd
1722183,379829,1343241,1422886,1776216,2459935,4785740
1277396,336216,1385292,1465339,1818964,2502683,4840551
pexels-photo-2846602,381965,1427675,1508352,1862502,2546221,4895132
2232979,352476,1470203,1551337,1905581,2589300,4951209
3653963,414822,1513083,1594661,1949273,2632992,5003828
2119713,445269,1556269,1638436,1993273,2676992,5065604
8442861,269082,1599841,1682283,2037377,2721096,5123285
2600340,405115,1644842,1727726,2083061,2766780,5178067
1544947,313353,1690365,1773666,2129339,2813058,5240329
pexels-photo-6635187,454263,1735930,1819764,2175464,2859183,5288927
208560,549761,1783271,1867677,2223416,2907135,5339404
3311574,303033,1831433,1916156,2272215,2955934,5402967
3004909,404637,1880034,1965300,2321596,3005315,5466113
4934193,338230,1928860,2014655,2371461,3055180,5528967
7218572,339089,1977819,2064118,2421109,3104828,5593066
2387532,166959,2027133,2113502,2470958,3154691,5651688
3794859,441725,2076496,2163349,2520851,3204584,5714084
3623285,348285,2127119,2214469,2572529,3256262,5781907
162520,441740,2177767,2265637,2623778,3307511,5841756
1044329,501699,2228979,2317585,2676033,3361991,5912747
5184684,385939,2282075,2371177,2729828,3415786,5977029
2272939,510739,2335719,2425520,2784298,3470256,6044680
2127969,531444,2389862,2480121,2838919,3547672,6125499
pexels-photo-4672246,363390,2444846,2535622,2894935,3603688,6192719
159550,353364,2502096,2593382,2953216,3661969,6264410
4843579,481757,2559370,2651290,3011351,3720104,6337946
35875869841_0b10e41e57_o,383688,2616723,2709282,3070787,3779540,6409272
pexels-photo-6096399,281017,2674614,2767601,3130082,3838835,6482273
pexels-photo-1933873,383335,2732528,2826099,3188933,3897686,6551047
pexels-photo-7438498,376263,2790644,2884689,3248148,3956901,6621197
pexels-photo-2598024,351740,2848921,2943516,3307178,4015931,6691204
1687147,446768,2907516,3002574,3366265,4080779,6763713
2079234,413982,2967006,3062496,3426394,4140908,6838136
3044702,433784,3026649,3122589,3486634,4201148,6906630
3396657,428620,3086547,3182939,3547161,4261675,6973085
33162,536509,3146745,3243814,3608118,4322632,7034020
5739122,425673,3207429,3305009,3670116,4384630,7109121
pexels-photo-2686358,493094,3270563,3368735,3734004,4448518,7180136
1459534,621098,3334894,3433667,3798972,4513486,7245079
3836671,300165,3399587,3498719,3864817,4579678,7323946
2184504,495639,3464838,3564516,3931061,4645922,7398339
2387876,536519,3530899,3630912,3997535,4712396,7470117
pexels-photo-3568544,362794,3597385,3697871,4065035,4779896,7549055
262780,464480,3663969,3764882,4132075,4846936,7625850
1287145,394364,3730765,3832038,4199321,4914182,7704881
3363331,394630,3798120,3899775,4267450,4982311,7785974
pexels-photo-3680501,503447,3868216,3970339,4338046,5064115,7875239
pexels-photo-7263002,469015,3939541,4042153,4410136,5136205,7955009
pexels-photo-3214683,353703,4010957,4114048,4482304,5208373,8036634
pexels-photo-4177747,542288,4082381,4186173,4554536,5280605,8113283
209864,393496,4153962,4258087,4627049,5353118,8196302
373965,379193,4225861,4330331,4699756,5425825,8280490
4099238,483050,4298696,4403577,4773205,5499274,8363751
pexels-photo-1130297,447277,4372434,4477962,4848130,5574199,8454622
3493730,420982,4447296,4553267,4923497,5649566,8537558
1546166,518493,4524209,4630779,5001183,5727252,8620924
3534924,401696,4601578,4708514,5078965,5805034,8707646
2666598,491356,4679065,4786495,5157563,5883632,8800254
225284,545083,4761061,4868907,5240114,5966183,8891434
631292,482716,4844122,4952297,5323548,6049617,8977992
pexels-photo-3586798,463328,4927449,5036263,5407677,6133746,9070922
pexels-photo-4352249,459976,5013894,5123178,5494758,6220827,9163189
pexels-photo-2811087,406020,5100540,5210333,5582040,6308109,9261011
1029604,493233,5194817,5305123,5676847,6402916,9363440
1420710,603275,5292718,5403601,5775325,6501394,9461896
pexels-photo-6926600,434486,5390857,5502130,5874054,6600123,9574450
pexels-photo-796526,427380,5491551,5603316,5975604,6701673,9685842
962312,223317,5598679,5710580,6083630,6809703,9803859
146083,518562,5708991,5821406,6194573,6920646,9922259
1531677,550779,5820801,5933706,6306899,7032972,10040537
pexels-photo-7266811,516030,5946749,6060222,6433671,7159744,10175980
pexels-photo-4210863,672695,6076063,6189982,6563437,7289510,10306054
1570264,549264,6213871,6328129,6701587,7427660,10451518
3571065,683177,6376318,6491013,6864481,7603497,10627333
