Name,PNG,QB3 Fast,QB3 Base,QB3 Best,QB3 Best Band,QB3 + Zstd
3044702,433784,372842,372503,372357,372357,364093
1391487,434153,410459,410062,409907,401294,394171
pexels-photo-6926600,434486,335281,334997,334800,334800,321274
2123337,435454,413206,412769,412565,412565,397676
297394,441159,430842,430312,429730,429183,415741
1147124,441273,457266,456900,456793,431484,417564
3794859,441725,391266,390882,390831,390831,378721
162520,441740,390011,389600,389520,389520,381197
167491,442331,425987,425444,425339,425339,414020
2119713,445269,400833,400362,400132,400132,382754
1687147,446768,386929,386572,386543,380783,373304
1248582,447213,404655,404194,404038,397165,387178
pexels-photo-1130297,447277,372650,372147,371605,371605,356016
1943411,450187,474640,474265,474213,437967,429905
pexels-photo-1075776,451123,436993,436480,436161,436161,424821
pexels-photo-4405455,452453,413239,412787,412703,412703,410538
pexels-photo-6635187,454263,407804,407386,407360,407360,404978
7280783,457197,436074,435742,435720,435720,435742
pexels-photo-1544724,458796,431724,431058,429337,429337,419863
pexels-photo-4352249,459976,372588,372233,372058,372058,367070
5458393,462516,449598,449164,447687,446213,435793
pexels-photo-3586798,463328,378999,378494,378330,378330,369812
262780,464480,396814,396473,396444,396444,387190
2504911,466255,438725,438131,436715,436715,421266
333963,466778,498312,497940,497856,449630,443743
pexels-photo-7263002,469015,396737,396364,396085,396085,388729
382297,475513,471011,470563,469703,469703,455249
2291004,476632,493608,492998,492993,492993,493015
164338,480370,455760,455336,454774,454774,439613
4843579,481757,423531,423021,422789,422789,407858
631292,482716,398603,398350,398304,398304,395194
4099238,483050,409142,408815,408610,408610,399011
2693208,483448,498250,497471,497137,437462,427108
1130683,489659,451796,451326,451235,451235,441434
3779828,490567,453331,452831,452519,449117,440338
2666598,491356,412709,412312,411691,411691,398164
pexels-photo-7078476,492134,451165,450669,450588,450588,439341
pexels-photo-2686358,493094,429212,428732,428568,428568,421720
1029604,493233,397899,397492,397475,397475,390053
2184504,495639,429572,429125,428686,428686,420893
1044329,501699,449641,449041,448726,446484,430252
pexels-photo-3680501,503447,432527,432144,432110,420749,413622
2693212,509821,473246,472853,472664,466951,458953
2272939,510739,456302,455716,455588,455588,442889
1624307,512726,484417,484004,483922,483922,481325
pexels-photo-1029599,512806,488646,488240,488071,488071,479250
53435,513319,481805,481542,481464,481464,479407
2738653,513406,498101,497860,497851,489463,487358
pexels-photo-7266811,516030,389248,388803,388540,388540,380097
67216,516477,509087,508676,508672,508672,508694
1546166,518493,440714,440230,440053,440053,434533
146083,518562,407213,406806,406685,406685,399478
631317,525935,491720,491395,490822,490822,490844
1173777,529734,550893,550419,550357,504972,495934
2127969,531444,476558,476183,476163,453479,450242
162511,531679,502580,502067,501996,501996,489631
33162,536509,475525,474973,474888,474888,474910
2387876,536519,469887,469623,469545,469545,466381
pexels-photo-4177747,542288,470248,469680,469572,469572,465296
225284,545083,462285,461954,461814,461814,453456
1570264,549264,410457,410191,410188,410188,403050
208560,549761,501798,501326,501286,501286,498828
1531677,550779,438003,437607,437580,437580,431855
3779187,553143,519430,518953,518704,518704,509264
1420710,603275,504834,504347,504347,504347,504369
1459534,621098,556357,555860,555823,555823,555848
pexels-photo-4210863,672695,542973,542599,542593,542593,542311
3571065,683177,520206,519847,519837,506821,506843
